run_dir,algo,env,ep,gap,maxgap,N,gamma,eval_ep,IDM,ACTOR,done,subgoal,critic,tasks_idm,tasks_actor
20260516_134915_seed0_cube-triple-play-v0,DQC,cube-triple-play-v0,300,0,0,1,0.995,300,0.20,0.22,1,diag_gaussian,dqc,"0.98,0.02,0.00,0.00,0.00","0.96,0.02,0.10,0.02,0.00"
20260516_192406_seed0_cube-double-play-v0,DQC,cube-double-play-v0,200,0,0,1,0.99,,,,0,diag_gaussian,dqc,,
20260516_192511_seed0_cube-triple-play-v0,DQC,cube-triple-play-v0,300,0,0,1,0.995,200,0.16,0.13,1,diag_gaussian,dqc,"0.80,0.00,0.02,0.00,0.00","0.62,0.00,0.02,0.00,0.00"
20260516_225212_seed0_cube-triple-play-v0,DQC,cube-triple-play-v0,300,0,0,1,0.995,200,0.14,0.15,1,diag_gaussian,dqc,"0.72,0.00,0.00,0.00,0.00","0.76,0.00,0.00,0.00,0.00"
20260517_021949_seed0_cube-triple-play-v0,DQC,cube-triple-play-v0,200,0,0,1,0.995,200,0.09,0.14,1,diag_gaussian,dqc,"0.46,0.00,0.00,0.00,0.00","0.66,0.00,0.02,0.00,0.00"
20260517_054649_seed0_cube-triple-play-v0,DQC,cube-triple-play-v0,200,1,0,1,0.995,200,0.13,0.12,1,diag_gaussian,dqc,"0.62,0.00,0.02,0.00,0.00","0.60,0.00,0.00,0.00,0.00"
20260517_091424_seed0_cube-triple-play-v0,DQC,cube-triple-play-v0,200,1,0,1,0.995,200,0.19,0.18,1,diag_gaussian,dqc,"0.96,0.00,0.00,0.00,0.00","0.86,0.00,0.02,0.00,0.00"
20260517_124038_seed0_cube-triple-play-v0,DQC,cube-triple-play-v0,200,1,0,1,0.995,200,0.20,0.21,1,diag_gaussian,dqc,"0.96,0.02,0.02,0.00,0.00","0.96,0.00,0.08,0.00,0.00"
20260517_160659_seed0_cube-triple-play-v0,DQC,cube-triple-play-v0,200,1,0,1,0.995,200,0.20,0.16,1,diag_gaussian,dqc,"0.96,0.00,0.02,0.00,0.00","0.82,0.00,0.00,0.00,0.00"
20260517_193318_seed0_cube-triple-play-v0,DQC,cube-triple-play-v0,200,5,0,1,0.995,200,0.28,0.23,1,diag_gaussian,dqc,"0.94,0.12,0.30,0.00,0.02","1.00,0.00,0.14,0.00,0.00"
