run_dir,run_group,env,gap,maxgap,train_n,epoch,eval_n,IDM,ACTOR,idm_tasks,actor_tasks,timestamp
20260616_163012_seed0_puzzle-3x3-play-v0,flow_trl_feval_p3_g1_w5_n1,puzzle-3x3-play-v0,1.0,5.0,1,600,1,0.032,0.032,"1:0.1600,2:0.0000,3:0.0000,4:0.0000,5:0.0000","1:0.1600,2:0.0000,3:0.0000,4:0.0000,5:0.0000",2026-06-16T21:37:31Z
20260616_163012_seed0_puzzle-3x3-play-v0,flow_trl_feval_p3_g1_w5_n1,puzzle-3x3-play-v0,1.0,5.0,1,600,16,0.656,0.5280000000000001,"1:1.0000,2:0.5200,3:0.7200,4:0.4000,5:0.6400","1:0.8000,2:0.5600,3:0.5200,4:0.4800,5:0.2800",2026-06-16T21:56:56Z
20260616_163012_seed0_puzzle-3x3-play-v0,flow_trl_feval_p3_g1_w5_n1,puzzle-3x3-play-v0,1.0,5.0,1,600,2,0.10399999999999998,0.072,"1:0.3600,2:0.0400,3:0.0400,4:0.0400,5:0.0400","1:0.3200,2:0.0400,3:0.0000,4:0.0000,5:0.0000",2026-06-16T21:43:08Z
20260616_163012_seed0_puzzle-3x3-play-v0,flow_trl_feval_p3_g1_w5_n1,puzzle-3x3-play-v0,1.0,5.0,1,600,4,0.256,0.192,"1:0.6400,2:0.3200,3:0.0400,4:0.1200,5:0.1600","1:0.3600,2:0.1200,3:0.1600,4:0.1200,5:0.2000",2026-06-16T21:48:20Z
20260616_163012_seed0_puzzle-3x3-play-v0,flow_trl_feval_p3_g1_w5_n1,puzzle-3x3-play-v0,1.0,5.0,1,600,8,0.4880000000000001,0.384,"1:0.8000,2:0.5200,3:0.6000,4:0.2400,5:0.2800","1:0.8000,2:0.2800,3:0.3200,4:0.2400,5:0.2800",2026-06-16T21:52:56Z
20260616_183954_seed0_puzzle-3x3-play-v0,flow_trl_feval_p3_g3_w5_n1,puzzle-3x3-play-v0,3.0,5.0,1,600,1,0.05600000000000001,0.048,"1:0.2800,2:0.0000,3:0.0000,4:0.0000,5:0.0000","1:0.2400,2:0.0000,3:0.0000,4:0.0000,5:0.0000",2026-06-16T22:02:38Z
20260616_183954_seed0_puzzle-3x3-play-v0,flow_trl_feval_p3_g3_w5_n1,puzzle-3x3-play-v0,3.0,5.0,1,600,16,0.616,0.44800000000000006,"1:1.0000,2:0.6400,3:0.6000,4:0.4800,5:0.3600","1:0.9200,2:0.4000,3:0.2400,4:0.4000,5:0.2800",2026-06-16T22:22:16Z
20260616_183954_seed0_puzzle-3x3-play-v0,flow_trl_feval_p3_g3_w5_n1,puzzle-3x3-play-v0,3.0,5.0,1,600,2,0.11200000000000002,0.11200000000000002,"1:0.4800,2:0.0400,3:0.0000,4:0.0400,5:0.0000","1:0.4400,2:0.0800,3:0.0000,4:0.0000,5:0.0400",2026-06-16T22:08:11Z
20260616_183954_seed0_puzzle-3x3-play-v0,flow_trl_feval_p3_g3_w5_n1,puzzle-3x3-play-v0,3.0,5.0,1,600,4,0.312,0.17600000000000002,"1:0.8000,2:0.2800,3:0.1600,4:0.2400,5:0.0800","1:0.4800,2:0.1600,3:0.1600,4:0.0400,5:0.0400",2026-06-16T22:13:27Z
20260616_183954_seed0_puzzle-3x3-play-v0,flow_trl_feval_p3_g3_w5_n1,puzzle-3x3-play-v0,3.0,5.0,1,600,8,0.44000000000000006,0.44799999999999995,"1:0.8400,2:0.2800,3:0.2800,4:0.3200,5:0.4800","1:0.7600,2:0.6000,3:0.0800,4:0.4000,5:0.4000",2026-06-16T22:18:06Z
20260616_204915_seed0_puzzle-3x3-play-v0,flow_trl_feval_p3_g5_w5_n1,puzzle-3x3-play-v0,5.0,5.0,1,600,1,0.064,0.04,"1:0.2800,2:0.0400,3:0.0000,4:0.0000,5:0.0000","1:0.1600,2:0.0000,3:0.0000,4:0.0400,5:0.0000",2026-06-16T22:28:01Z
20260616_204915_seed0_puzzle-3x3-play-v0,flow_trl_feval_p3_g5_w5_n1,puzzle-3x3-play-v0,5.0,5.0,1,600,16,0.568,0.384,"1:0.9200,2:0.4800,3:0.4400,4:0.4000,5:0.6000","1:0.5200,2:0.4000,3:0.3600,4:0.4000,5:0.2400",2026-06-16T22:47:43Z
20260616_204915_seed0_puzzle-3x3-play-v0,flow_trl_feval_p3_g5_w5_n1,puzzle-3x3-play-v0,5.0,5.0,1,600,2,0.128,0.088,"1:0.5200,2:0.0800,3:0.0000,4:0.0400,5:0.0000","1:0.3200,2:0.0000,3:0.0000,4:0.1200,5:0.0000",2026-06-16T22:33:32Z
20260616_204915_seed0_puzzle-3x3-play-v0,flow_trl_feval_p3_g5_w5_n1,puzzle-3x3-play-v0,5.0,5.0,1,600,4,0.27199999999999996,0.28,"1:0.8000,2:0.1200,3:0.1600,4:0.1600,5:0.1200","1:0.6800,2:0.4000,3:0.1600,4:0.0800,5:0.0800",2026-06-16T22:38:35Z
