run_dir,run_group,env,gap,maxgap,train_n,epoch,eval_n,temperature,eval_suffix,IDM,ACTOR,idm_tasks,actor_tasks,timestamp
20260610_102004_seed0_antmaze-giant-navigate-v0,FlowGap10W5TRL_rd_sd_antmaze_giant,antmaze-giant-navigate-v0,10.0,5.0,4,600,16,0.5,cap4000_t0p5,0.312,0.344,"1:0.0800,2:0.4000,3:0.1200,4:0.2400,5:0.7200","1:0.0800,2:0.3600,3:0.2800,4:0.2800,5:0.7200",2026-06-24T17:52:53Z
20260610_102004_seed0_antmaze-giant-navigate-v0,FlowGap10W5TRL_rd_sd_antmaze_giant,antmaze-giant-navigate-v0,10.0,5.0,4,600,16,1.0,cap4000_t1p0,0.136,0.16799999999999998,"1:0.0800,2:0.0400,3:0.0000,4:0.1600,5:0.4000","1:0.0000,2:0.1200,3:0.0800,4:0.1600,5:0.4800",2026-06-24T17:43:25Z
20260610_102004_seed0_antmaze-giant-navigate-v0,FlowGap10W5TRL_rd_sd_antmaze_giant,antmaze-giant-navigate-v0,10.0,5.0,4,600,2,0.5,cap4000_t0p5,0.272,0.34400000000000003,"1:0.0800,2:0.3600,3:0.1200,4:0.2400,5:0.5600","1:0.0000,2:0.3600,3:0.2800,4:0.4000,5:0.6800",2026-06-24T17:14:02Z
20260610_102004_seed0_antmaze-giant-navigate-v0,FlowGap10W5TRL_rd_sd_antmaze_giant,antmaze-giant-navigate-v0,10.0,5.0,4,600,2,1.0,cap4000_t1p0,0.11200000000000002,0.128,"1:0.0400,2:0.2000,3:0.0000,4:0.0800,5:0.2400","1:0.0400,2:0.2000,3:0.0800,4:0.0000,5:0.3200",2026-06-24T17:04:30Z
20260610_102004_seed0_antmaze-giant-navigate-v0,FlowGap10W5TRL_rd_sd_antmaze_giant,antmaze-giant-navigate-v0,10.0,5.0,4,600,32,0.5,cap4000_t0p5,0.20800000000000002,0.376,"1:0.0800,2:0.0800,3:0.2000,4:0.0800,5:0.6000","1:0.0400,2:0.4000,3:0.4000,4:0.1600,5:0.8800",2026-06-24T18:12:29Z
20260610_102004_seed0_antmaze-giant-navigate-v0,FlowGap10W5TRL_rd_sd_antmaze_giant,antmaze-giant-navigate-v0,10.0,5.0,4,600,32,1.0,cap4000_t1p0,0.10400000000000001,0.192,"1:0.0000,2:0.0400,3:0.0400,4:0.2400,5:0.2000","1:0.0400,2:0.1600,3:0.0400,4:0.1200,5:0.6000",2026-06-24T18:02:51Z
20260610_102004_seed0_antmaze-giant-navigate-v0,FlowGap10W5TRL_rd_sd_antmaze_giant,antmaze-giant-navigate-v0,10.0,5.0,4,600,8,0.5,cap4000_t0p5,0.344,0.35200000000000004,"1:0.0800,2:0.3600,3:0.2000,4:0.3600,5:0.7200","1:0.0000,2:0.4800,3:0.3200,4:0.3200,5:0.6400",2026-06-24T17:33:26Z
20260610_102004_seed0_antmaze-giant-navigate-v0,FlowGap10W5TRL_rd_sd_antmaze_giant,antmaze-giant-navigate-v0,10.0,5.0,4,600,8,1.0,cap4000_t1p0,0.176,0.28,"1:0.0400,2:0.2000,3:0.1200,4:0.0800,5:0.4400","1:0.0800,2:0.2000,3:0.1600,4:0.1600,5:0.8000",2026-06-24T17:23:50Z
20260611_052711_seed0_cube-double-play-v0,FlowGap10W5TRL_rd_sd_cube_double,cube-double-play-v0,10.0,5.0,4,600,16,1.0,,0.648,0.672,"1:1.0000,2:0.6000,3:0.6000,4:0.4000,5:0.6400","1:0.9200,2:0.7600,3:0.6800,4:0.3200,5:0.6800",2026-06-17T13:09:51Z
20260611_052711_seed0_cube-double-play-v0,FlowGap10W5TRL_rd_sd_cube_double,cube-double-play-v0,10.0,5.0,4,600,32,1.0,,0.48,0.5760000000000001,"1:0.7600,2:0.5600,3:0.2800,4:0.1600,5:0.6400","1:0.9200,2:0.7200,3:0.4400,4:0.2000,5:0.6000",2026-06-17T13:15:00Z
