horizon,config,env,env_label,temperature,run_dir,idm_n2,idm_n4,idm_n8,idm_n16,idm_n32,actor_n2,actor_n4,actor_n8,actor_n16,actor_n32,best_idm_n,best_idm,best_actor_n,best_actor
25,p3_g1_w5_n1,puzzle-3x3-play-v0,puzzle_3x3,0.5,runs/20260616_163012_seed0_puzzle-3x3-play-v0,0.1280,0.3280,0.5120,0.5760,0.6000,0.1040,0.2880,0.4480,0.4880,0.5680,32,0.6000,32,0.5680
25,p4_g5_w5_n1,puzzle-4x4-play-v0,puzzle_4x4,0.5,runs/20260617_161917_seed0_puzzle-4x4-play-v0,0.2240,0.4800,0.6320,0.7280,0.7440,0.3280,0.5040,0.6880,0.7840,0.7520,32,0.7440,16,0.7840
25,cs_g10_w5_n1,cube-single-play-v0,cube_single,0.5,runs/20260618_032311_seed0_cube-single-play-v0,0.9120,0.8880,0.9120,0.8880,0.8720,0.8080,0.8560,0.8560,0.8240,0.8480,2,0.9120,4,0.8560
25,cd_g10_w5_n1,cube-double-play-v0,cube_double,0.5,runs/20260618_122145_seed0_cube-double-play-v0,0.7920,0.8080,0.8000,0.7760,0.7360,0.8240,0.8240,0.8160,0.7840,0.7680,4,0.8080,2,0.8240
25,ct_g10_w5_n1,cube-triple-play-v0,cube_triple,0.5,runs/20260619_073307_seed0_cube-triple-play-v0,0.5440,0.5040,0.5760,0.5280,0.5520,0.4560,0.4320,0.4560,0.4320,0.4640,8,0.5760,32,0.4640
25,amm_g3_w5_n1,antmaze-medium-navigate-v0,antmaze_medium,0.5,runs/20260619_151116_seed0_antmaze-medium-navigate-v0,0.9680,0.9520,0.9600,0.9680,0.9760,0.9680,0.9360,0.9280,0.9600,0.9040,32,0.9760,2,0.9680
25,aml_g10_w5_n1,antmaze-large-navigate-v0,antmaze_large,0.5,runs/20260621_183619_seed0_antmaze-large-navigate-v0,0.7760,0.8480,0.8160,0.8000,0.8240,0.7120,0.7360,0.7520,0.7760,0.6960,4,0.8480,16,0.7760
25,amg_g3_w5_n1,antmaze-giant-navigate-v0,antmaze_giant,0.5,runs/20260621_235244_seed0_antmaze-giant-navigate-v0,0.1920,0.2800,0.3680,0.2960,0.2640,0.3040,0.3040,0.4000,0.4320,0.3840,8,0.3680,16,0.4320
40,amg_k40_g3_w5_n1_en8,antmaze-giant-navigate-v0,antmaze_giant,0.5,runs/20260623_035837_seed0_antmaze-giant-navigate-v0,0.1360,0.1840,0.1920,0.2560,0.2000,0.3040,0.3200,0.4400,0.4000,0.3920,16,0.2560,8,0.4400
40,aml_k40_g10_w5_n1_en16,antmaze-large-navigate-v0,antmaze_large,0.5,runs/20260623_014427_seed0_antmaze-large-navigate-v0,0.7680,0.7920,0.7200,0.8240,0.7280,0.7680,0.7920,0.7840,0.8000,0.7120,16,0.8240,16,0.8000
40,amm_k40_g3_w5_n1_en8,antmaze-medium-navigate-v0,antmaze_medium,0.5,runs/20260622_233208_seed0_antmaze-medium-navigate-v0,0.8720,0.9040,0.9120,0.8960,0.9040,0.8960,0.9200,0.9280,0.9680,0.8960,8,0.9120,16,0.9680
40,cd_k40_g10_w5_n1_en8,cube-double-play-v0,cube_double,0.5,runs/20260622_162953_seed0_cube-double-play-v0,0.8160,0.8480,0.8240,0.8800,0.8320,0.9120,0.8480,0.9680,0.8960,0.8560,16,0.8800,8,0.9680
40,cs_k40_g10_w5_n1_en2,cube-single-play-v0,cube_single,0.5,runs/20260622_143231_seed0_cube-single-play-v0,0.9440,0.9360,0.9680,0.9520,0.9280,0.8960,0.8400,0.9120,0.8720,0.8720,8,0.9680,8,0.9120
40,ct_k40_g10_w5_n1_en8,cube-triple-play-v0,cube_triple,0.5,runs/20260622_183639_seed0_cube-triple-play-v0,0.7040,0.8400,0.7360,0.7840,0.6960,0.7760,0.8080,0.7920,0.7920,0.7520,4,0.8400,4,0.8080
40,p3_k40_g1_w5_n1_en32,puzzle-3x3-play-v0,puzzle_3x3,0.5,runs/20260622_095129_seed0_puzzle-3x3-play-v0,0.1360,0.2480,0.3600,0.4320,0.4640,0.1040,0.1600,0.2160,0.2240,0.2320,32,0.4640,32,0.2320
40,p4_k40_g5_w5_n1_en16,puzzle-4x4-play-v0,puzzle_4x4,0.5,runs/20260622_120803_seed0_puzzle-4x4-play-v0,0.1280,0.2800,0.3200,0.4480,0.4880,0.0720,0.1600,0.2400,0.2880,0.2800,32,0.4880,16,0.2880
