run_dir,algo,env,ep,gap,maxgap,N,gamma,eval_ep,IDM,ACTOR,done,subgoal,critic,tasks_idm,tasks_actor
20260525_141920_seed0_cube-double-play-v0,DQC,cube-double-play-v0,400,5,0,1,0.99,400,0.80,0.76,1,diag_gaussian,dqc,"1.00,0.92,0.96,0.26,0.88","0.98,0.94,0.86,0.32,0.70"
20260525_163103_seed0_cube-double-play-v0,DQC,cube-double-play-v0,400,5,0,1,0.99,400,0.27,0.33,1,diag_gaussian,dqc,"0.70,0.26,0.26,0.10,0.04","0.82,0.34,0.24,0.14,0.12"
20260525_184554_seed0_cube-double-play-v0,DQC,cube-double-play-v0,400,5,0,1,0.99,400,0.76,0.66,1,diag_gaussian,dqc,"1.00,0.96,0.98,0.14,0.72","0.98,0.86,0.82,0.32,0.32"
20260525_205728_seed0_cube-double-play-v0,DQC,cube-double-play-v0,400,5,0,1,0.99,400,0.22,0.32,1,diag_gaussian,dqc,"0.52,0.30,0.18,0.00,0.12","0.76,0.36,0.24,0.10,0.12"
20260525_231150_seed0_cube-double-play-v0,DQC,cube-double-play-v0,400,5,0,1,0.99,400,0.76,0.67,1,diag_gaussian,dqc,"1.00,0.96,0.98,0.32,0.56","0.98,0.72,0.86,0.36,0.42"
20260526_012346_seed0_cube-double-play-v0,DQC,cube-double-play-v0,400,5,0,1,0.99,400,0.21,0.25,1,diag_gaussian,dqc,"0.60,0.12,0.24,0.02,0.06","0.80,0.16,0.20,0.06,0.02"
20260526_033907_seed0_cube-double-play-v0,DQC,cube-double-play-v0,400,5,0,1,0.99,400,0.78,0.72,1,diag_gaussian,dqc,"1.00,1.00,0.98,0.20,0.74","1.00,0.84,0.88,0.26,0.60"
20260526_055032_seed0_cube-double-play-v0,DQC,cube-double-play-v0,400,5,0,1,0.99,400,0.13,0.11,1,diag_gaussian,dqc,"0.36,0.10,0.14,0.04,0.02","0.38,0.12,0.00,0.02,0.02"
20260526_080605_seed0_cube-single-play-v0,DQC,cube-single-play-v0,400,1,0,1,0.99,400,0.98,0.80,1,diag_gaussian,dqc,"1.00,1.00,0.98,0.94,1.00","0.78,0.74,0.88,0.82,0.80"
20260526_100904_seed0_cube-single-play-v0,DQC,cube-single-play-v0,400,1,0,1,0.99,400,0.94,0.76,1,diag_gaussian,dqc,"0.98,1.00,0.86,0.98,0.88","0.88,0.68,0.74,0.84,0.66"
